日付,順位,コード,銘柄名,市場,株価,S高,前日比,前日比(%),約定回数,ＰＥＲ,ＰＢＲ,利回り
2021/06/17,1,9984,ＳＢＧ,東１,"7,897",,-112,-1.40%,"24,640",－,1.32,0.56
2021/06/17,2,4582,シンバイオ,ＪＧ,"2,422",,+44,+1.85%,"22,359",80.8,24.16,－
2021/06/17,3,4689,ＺＨＤ,東１,554.1,,+14.4,+2.67%,"20,425",－,1.57,1.00
2021/06/17,4,8306,三菱ＵＦＪ,東１,618.0,,+7.2,+1.18%,"17,363",9.3,0.47,4.37
2021/06/17,5,4188,三菱ケミＨＤ,東１,925.4,,+18.0,+1.98%,"16,194",13.6,1.06,2.59
2021/06/17,6,2370,メディネット,東Ｍ,115,S,+30,+35.29%,"13,641",－,3.83,－
2021/06/17,7,9202,ＡＮＡＨＤ,東１,"2,806.5",,+12.5,+0.45%,"13,582",377,1.31,－
2021/06/17,8,9201,ＪＡＬ,東１,"2,556",,+3,+0.12%,"13,233",－,1.18,－
2021/06/17,9,6301,コマツ,東１,"2,890.0",,-160.0,-5.25%,"13,124",18.7,1.43,2.15
2021/06/17,10,4523,エーザイ,東１,"11,400",,+155,+1.38%,"13,014",73.5,4.65,1.40
2021/06/17,11,1552,ＶＩＸ短先物,東Ｅ,"2,888",,+99,+3.55%,"12,892",－,－,－
2021/06/17,12,1570,日経レバ,東Ｅ,"16,010",,-320,-1.96%,"10,977",－,－,－
2021/06/17,13,6723,ルネサス,東１,"1,182",,-13,-1.09%,"10,768",－,3.17,－
2021/06/17,14,7371,全研本社,東Ｍ,"1,402",,-11,-0.78%,"10,432",19.1,1.73,－
2021/06/17,15,6920,レーザーテク,東１,"21,670",,+460,+2.17%,"10,356",139,40.34,0.25
2021/06/17,16,8750,第一生命ＨＤ,東１,"2,243.0",,+55.5,+2.54%,"9,748",8.2,0.48,3.43
2021/06/17,17,5020,ＥＮＥＯＳ,東１,475.6,,+1.6,+0.34%,"9,731",10.9,0.66,4.63
2021/06/17,18,4662,フォーカス,東１,"1,207",,-143,-10.59%,"9,006",17.7,1.64,2.07
2021/06/17,19,4751,サイバー,東１,"2,319",,-3,-0.13%,"8,836",46.8,11.70,0.43
2021/06/17,20,9603,ＨＩＳ,東１,"2,589",,+91,+3.64%,"8,743",－,2.89,－
2021/06/17,21,2413,エムスリー,東１,"7,338",,-275,-3.61%,"8,193",－,24.93,－
2021/06/17,22,5401,日本製鉄,東１,"1,893.5",,-25.5,-1.33%,"8,122",7.3,0.63,－
2021/06/17,23,7201,日産自,東１,562.1,,+3.0,+0.54%,"7,858",－,0.56,－
2021/06/17,24,6501,日立,東１,"6,181",,-70,-1.12%,"7,597",10.9,1.70,－
2021/06/17,25,8604,野村,東１,585.7,,+4.1,+0.70%,"7,330",－,0.67,－
2021/06/17,26,4477,ＢＡＳＥ,東Ｍ,"1,680",,-99,-5.56%,"7,305",－,11.45,－
2021/06/17,27,7203,トヨタ,東１,"10,230",,+55,+0.54%,"6,907",12.4,1.22,－
