日付,順位,コード,銘柄名,市場,株価,S高,前日比,前日比(%),約定回数,ＰＥＲ,ＰＢＲ,利回り
2021/11/02,1,9984,ＳＢＧ,東１,"6,316",,-13,-0.21%,"28,915",－,1.01,0.70
2021/11/02,2,4689,ＺＨＤ,東１,733.2,,+15.0,+2.09%,"26,765",－,2.06,0.76
2021/11/02,3,4188,三菱ケミＨＤ,東１,954.9,,-13.6,-1.40%,"25,160",7.1,1.03,3.14
2021/11/02,4,8031,三井物,東１,"2,560.5",,-107.0,-4.01%,"24,959",5.8,0.87,3.71
2021/11/02,5,6522,アスタリスク,東Ｍ,"11,670",,+230,+2.01%,"20,983",79.0,43.54,－
2021/11/02,6,8002,丸紅,東１,"1,017.0",,+33.0,+3.35%,"18,513",5.0,0.95,5.01
2021/11/02,7,3936,ＧＷ,東Ｍ,"3,375",,-675,-16.67%,"18,051",481,229,－
2021/11/02,8,6920,レーザーテク,東１,"26,465",,-230,-0.86%,"17,966",113,46.53,0.31
2021/11/02,9,6178,日本郵政,東１,859.3,,-4.7,-0.54%,"15,262",9.5,0.24,5.82
2021/11/02,10,2158,フロンテオ,東Ｍ,"2,773",,+179,+6.90%,"14,466",150,22.13,0.18
2021/11/02,11,2768,双日,東１,"1,797",,-121,-6.31%,"12,248",5.9,0.63,5.01
2021/11/02,12,8604,野村,東１,509.0,,-6.3,-1.22%,"11,779",－,0.58,－
2021/11/02,13,9202,ＡＮＡＨＤ,東１,"2,701.5",,+33.5,+1.26%,"11,633",－,1.59,－
2021/11/02,14,8306,三菱ＵＦＪ,東１,640.2,,+0.1,+0.02%,"11,564",9.7,0.47,4.22
2021/11/02,15,3996,サインポスト,東１,"2,025",,+204,+11.20%,"11,332",－,17.70,－
2021/11/02,16,3681,ブイキューブ,東１,"1,343",S,-400,-22.95%,"11,303",16.2,7.51,0.60
2021/11/02,17,9603,ＨＩＳ,東１,"2,600",,+165,+6.78%,"11,133",－,3.17,－
2021/11/02,18,7203,トヨタ,東１,"2,048.0",,-2.0,-0.10%,"9,982",12.3,1.18,－
2021/11/02,19,5401,日本製鉄,東１,"2,015.0",,-38.0,-1.85%,"9,894",3.6,0.59,－
2021/11/02,20,6981,村田製,東１,"8,480",,-139,-1.61%,"9,401",20.0,2.64,1.42
2021/11/02,21,9245,リベロ,東Ｍ,"2,824",,+283,+11.14%,"9,376",68.0,12.21,－
2021/11/02,22,8058,三菱商,東１,"3,671.0",,+10.0,+0.27%,"9,345",14.3,0.94,3.65
2021/11/02,23,9201,ＪＡＬ,東１,"2,505",,+48,+1.95%,"9,191",－,1.29,－
2021/11/02,24,3907,シリコンスタ,東Ｍ,"1,350",,-4,-0.30%,"8,774",－,3.29,－
2021/11/02,25,1570,日経レバ,東Ｅ,"16,530",,-140,-0.84%,"8,429",－,－,－
2021/11/02,26,8591,オリックス,東１,"2,314.5",,-10.0,-0.43%,"8,400",11.1,0.91,3.37
2021/11/02,27,9433,ＫＤＤＩ,東１,"3,415.0",,-95.0,-2.71%,"8,371",11.7,1.57,3.66
2021/11/02,28,2914,ＪＴ,東１,"2,328.5",,-50.0,-2.10%,"8,212",12.5,1.48,6.01
2021/11/02,29,6971,京セラ,東１,"7,151",,+362,+5.33%,"7,970",18.6,0.96,2.52
2021/11/02,30,3632,グリー,東１,"1,035",,+74,+7.70%,"7,857",－,1.66,－
2021/11/02,31,9101,郵船,東１,"8,510",,+60,+0.71%,"7,749",2.9,1.88,8.23
2021/11/02,32,7201,日産自,東１,596.1,,+5.5,+0.93%,"7,607",38.9,0.57,－
2021/11/02,33,6762,ＴＤＫ,東１,"4,485",,+360,+8.73%,"7,437",15.5,1.56,1.55
2021/11/02,34,2413,エムスリー,東１,"6,654",,-45,-0.67%,"7,420",－,19.52,－
2021/11/02,35,3402,東レ,東１,727.5,,+11.8,+1.65%,"7,403",12.9,0.92,2.20
2021/11/02,36,6723,ルネサス,東１,"1,425",,+25,+1.79%,"7,137",－,2.64,－
2021/11/02,37,1518,三井松島ＨＤ,東１,"1,461",,-75,-4.88%,"6,993",9.5,0.61,3.42
2021/11/02,38,7267,ホンダ,東１,"3,453.0",,-26.0,-0.75%,"6,783",8.9,0.64,3.19
2021/11/02,39,6758,ソニーＧ,東１,"13,880",,+30,+0.22%,"6,762",23.6,2.43,－
2021/11/02,40,6501,日立,東１,"6,767",,-32,-0.47%,"6,749",11.9,1.71,－
2021/11/02,41,4042,東ソー,東１,"1,853",,-107,-5.46%,"6,477",7.4,0.90,3.24
2021/11/02,42,6752,パナソニック,東１,"1,368.0",,-14.0,-1.01%,"6,274",13.3,1.16,－
2021/11/02,43,6182,メタリアル,東Ｍ,"1,216",,-53,-4.18%,"6,225",49.8,4.83,0.58
2021/11/02,44,4373,シンプレクス,東１,"2,782",,+265,+10.53%,"6,162",36.0,3.99,0.83
2021/11/02,45,6098,リクルート,東１,"7,765",,+53,+0.69%,"6,123",56.4,10.89,0.27
2021/11/02,46,8001,伊藤忠,東１,"3,331.0",,+10.0,+0.30%,"6,022",9.0,1.40,2.82
2021/11/02,47,3659,ネクソン,東１,"2,088",,+139,+7.13%,"5,955",－,2.39,0.24
2021/11/02,48,7751,キヤノン,東１,"2,601.0",,+24.5,+0.95%,"5,915",13.5,0.99,3.46
2021/11/02,49,4502,武田,東１,"3,253.0",,+1.0,+0.03%,"5,856",27.8,0.96,5.53
2021/11/02,50,5759,日本電解,東Ｍ,"4,850",,+10,+0.21%,"5,738",40.3,6.87,－
2021/11/02,51,7004,日立造,東１,845,,-60,-6.63%,"5,622",28.5,1.18,1.42
2021/11/02,52,5020,ＥＮＥＯＳ,東１,460.1,,-3.4,-0.73%,"5,592",10.6,0.62,4.78
2021/11/02,53,3064,モノタロウ,東１,"2,348",,-77,-3.18%,"5,514",67.5,21.62,0.49
2021/11/02,54,4568,第一三共,東１,"2,851.0",,-23.0,-0.80%,"5,470",85.4,4.16,0.95
2021/11/02,55,6471,日精工,東１,774,,-3,-0.39%,"5,449",13.2,0.69,3.23
2021/11/02,56,8601,大和,東１,636.4,,-15.8,-2.42%,"5,429",－,0.71,－
2021/11/02,57,4901,富士フイルム,東１,"9,069",,+135,+1.51%,"5,303",22.7,1.60,1.10
2021/11/02,58,5411,ＪＦＥ,東１,"1,769",,-34,-1.89%,"5,239",4.2,0.57,－
2021/11/02,59,4927,ポーラＨＤ,東１,"2,378",,-172,-6.75%,"5,222",46.6,3.09,2.14
2021/11/02,60,8750,第一生命ＨＤ,東１,"2,423.0",,-36.0,-1.46%,"5,198",9.3,0.53,3.18
2021/11/02,61,8316,三井住友ＦＧ,東１,"3,808",,-17,-0.44%,"5,174",8.7,0.44,5.25
2021/11/02,62,9020,ＪＲ東日本,東１,"7,297",,+36,+0.50%,"5,165",－,1.16,1.37
2021/11/02,63,7733,オリンパス,東１,"2,494.0",,-61.5,-2.41%,"5,146",31.7,8.01,0.56
2021/11/02,64,3436,ＳＵＭＣＯ,東１,"2,189",,-8,-0.36%,"4,957",－,2.31,－
2021/11/02,65,2345,クシム,東２,402,,+31,+8.36%,"4,955",－,1.09,－
2021/11/02,66,9244,デジタリフト,東Ｍ,"2,043",S,+400,+24.35%,"4,924",28.6,9.17,－
2021/11/02,67,4507,塩野義,東１,"7,589",,+39,+0.52%,"4,866",22.9,2.60,1.45
2021/11/02,68,9434,ＳＢ,東１,"1,582.5",,+3.0,+0.19%,"4,845",14.9,5.09,5.43
2021/11/02,69,4587,ペプドリ,東１,"2,783",,-16,-0.57%,"4,834",100,16.38,－
2021/11/02,70,3793,ドリコム,東Ｍ,620,S,+100,+19.23%,"4,778",－,3.97,－
2021/11/02,71,4080,田中化研,ＪＱ,"1,266",,+103,+8.86%,"4,778",63.4,3.14,－
2021/11/02,72,6629,Ｔホライゾン,ＪＱ,895,,-71,-7.35%,"4,755",8.0,1.33,2.23
2021/11/02,73,9021,ＪＲ西日本,東１,"5,402",,+13,+0.24%,"4,754",－,1.28,1.85
2021/11/02,74,4169,エネチェンジ,東Ｍ,"5,720",,+430,+8.13%,"4,738",－,78.93,－
2021/11/02,75,2802,味の素,東１,"3,420.0",,-74.0,-2.12%,"4,506",31.0,2.96,1.29
2021/11/02,76,1925,大和ハウス,東１,"3,647",,-123,-3.26%,"4,495",11.1,1.29,3.45
2021/11/02,77,9107,川崎汽,東１,"5,670",,+60,+1.07%,"4,495",2.0,1.65,－
2021/11/02,78,9104,商船三井,東１,"7,280",,+30,+0.41%,"4,456",1.8,1.00,10.99
2021/11/02,79,9432,ＮＴＴ,東１,"3,221.0",,-7.0,-0.22%,"4,452",10.6,1.49,3.42
2021/11/02,80,4452,花王,東１,"6,552",,-64,-0.97%,"4,432",24.4,3.40,2.20
2021/11/02,81,7187,ジェイリース,東１,"2,502",,+41,+1.67%,"4,365",21.0,15.22,1.20
2021/11/02,82,8308,りそなＨＤ,東１,434.4,,-2.6,-0.59%,"4,317",7.2,0.42,4.83
2021/11/02,83,7011,三菱重,東１,"2,904.5",,-41.0,-1.39%,"4,291",9.7,0.71,3.10
2021/11/02,84,6902,デンソー,東１,"8,257",,-103,-1.23%,"4,288",18.9,1.58,1.94
2021/11/02,85,8802,菱地所,東１,"1,732.0",,-21.0,-1.20%,"4,279",16.2,1.22,1.91
2021/11/02,86,2489,アドウェイズ,東１,920,,+103,+12.61%,"4,200",27.9,3.23,0.76
2021/11/02,87,8697,日本取引所,東１,"2,605.0",,-126.0,-4.61%,"4,143",29.9,4.53,2.03
2021/11/02,88,6890,フェローテク,ＪＱ,"3,740",,-125,-3.23%,"4,133",7.3,1.70,1.23
2021/11/02,89,5201,ＡＧＣ,東１,"5,780",,-80,-1.37%,"4,095",9.9,1.00,3.63
2021/11/02,90,8053,住友商,東１,"1,636.5",,-18.0,-1.09%,"4,054",7.1,0.78,4.28
2021/11/02,91,4091,日本酸素ＨＤ,東１,"2,634",,-102,-3.73%,"4,008",19.6,2.09,1.21
2021/11/02,92,4293,セプテニＨＤ,ＪＱ,559,,+22,+4.10%,"3,939",－,3.84,－
2021/11/02,93,4911,資生堂,東１,"7,840",,-11,-0.14%,"3,927",88.2,6.52,0.64
2021/11/02,94,6503,三菱電,東１,"1,524.5",,-4.0,-0.26%,"3,922",14.8,1.16,－
2021/11/02,95,3382,セブン＆アイ,東１,"4,992",,+25,+0.50%,"3,891",23.2,1.54,2.00
2021/11/02,96,4543,テルモ,東１,"5,032",,-81,-1.58%,"3,854",41.4,4.35,0.60
2021/11/02,97,1605,ＩＮＰＥＸ,東１,960,,-9,-0.93%,"3,705",8.2,0.48,4.17
2021/11/02,98,6702,富士通,東１,"20,750",,+795,+3.98%,"3,672",20.0,2.79,1.06
2021/11/02,99,6326,クボタ,東１,"2,456.0",,-25.5,-1.03%,"3,665",16.2,1.84,－
2021/11/02,100,3092,ＺＯＺＯ,東１,"3,555",,-100,-2.74%,"3,660",32.0,24.61,1.55
2021/11/02,101,5938,ＬＩＸＩＬ,東１,"2,892",,-43,-1.47%,"3,644",17.9,1.48,2.77
2021/11/02,102,3121,マーチャント,東２,540,,-28,-4.93%,"3,600",65.1,4.13,0.37
2021/11/02,103,6301,コマツ,東１,"3,030.0",,-41.0,-1.34%,"3,589",15.3,1.43,2.64
2021/11/02,104,2395,新日本科学,東１,"1,537",,+34,+2.26%,"3,560",13.1,3.57,1.30
2021/11/02,105,8035,東エレク,東１,"55,230",,+120,+0.22%,"3,545",23.2,8.13,2.15
