日付,順位,コード,銘柄名,市場,株価,S高,前日比,前日比(%),約定回数,ＰＥＲ,ＰＢＲ,利回り
2021/11/18,1,9984,ＳＢＧ,東１,"6,986",,-146,-2.05%,"40,897",－,1.13,0.63
2021/11/18,2,4582,シンバイオ,ＪＧ,"1,800",,+99,+5.82%,"36,405",60.1,15.31,－
2021/11/18,3,6920,レーザーテク,東１,"32,070",,-440,-1.35%,"31,724",137,56.38,0.26
2021/11/18,4,4689,ＺＨＤ,東１,810.4,,-7.5,-0.92%,"22,171",－,2.28,0.69
2021/11/18,5,2158,フロンテオ,東Ｍ,"4,315",,+170,+4.10%,"17,103",153,31.81,0.16
2021/11/18,6,7203,トヨタ,東１,"2,124.5",,-3.5,-0.16%,"16,639",11.8,1.20,－
2021/11/18,7,8306,三菱ＵＦＪ,東１,634.7,,-3.9,-0.61%,"15,869",7.8,0.46,4.41
2021/11/18,8,6098,リクルート,東１,"7,550",,+106,+1.42%,"15,520",45.9,9.81,0.28
2021/11/18,9,6554,エスユーエス,東Ｍ,"1,346",S,+300,+28.68%,"14,520",28.1,4.27,0.74
2021/11/18,10,4751,サイバー,東１,"2,252",,+153,+7.29%,"14,503",－,8.83,－
2021/11/18,11,9246,プロカン,東Ｍ,"5,940",,-170,-2.78%,"13,519",104,21.15,－
2021/11/18,12,1570,日経レバ,東Ｅ,"16,600",,-110,-0.66%,"13,437",－,－,－
2021/11/18,13,5020,ＥＮＥＯＳ,東１,432.7,,-15.5,-3.46%,"12,644",5.0,0.55,5.08
2021/11/18,14,3680,ホットリンク,東Ｍ,921,,+112,+13.84%,"12,155",25.3,3.98,－
2021/11/18,15,4523,エーザイ,東１,"7,373",,-727,-8.98%,"11,490",34.9,2.89,2.17
2021/11/18,16,7201,日産自,東１,634.6,,+6.5,+1.03%,"11,363",13.8,0.60,－
2021/11/18,17,9107,川崎汽,東１,"4,575",,-355,-7.20%,"11,169",1.2,0.91,6.56
2021/11/18,18,5401,日本製鉄,東１,"1,832.0",,-35.0,-1.87%,"10,915",3.2,0.54,－
2021/11/18,19,3397,トリドール,東１,"2,503",,-242,-8.82%,"9,903",80.4,4.77,－
2021/11/18,20,7267,ホンダ,東１,"3,227.0",,-34.0,-1.04%,"9,503",10.0,0.58,3.41
2021/11/18,21,9250,ＧＲＣＳ,東Ｍ,"6,400",S,－,－%,"9,434",57.8,39.52,－
2021/11/18,22,5214,日電硝,東１,"2,954",,+226,+8.28%,"9,382",10.2,0.56,3.72
2021/11/18,23,6178,日本郵政,東１,867.7,,+0.9,+0.10%,"9,237",6.8,0.24,5.76
2021/11/18,24,1605,ＩＮＰＥＸ,東１,933,,-71,-7.07%,"9,018",7.1,0.43,4.29
2021/11/18,25,8604,野村,東１,493.1,,+0.6,+0.12%,"9,016",－,0.56,－
2021/11/18,26,8783,ＧＦＡ,ＪＱ,152,,-13,-7.88%,"9,005",158,6.51,－
2021/11/18,27,6481,ＴＨＫ,東１,"2,698",,+152,+5.97%,"8,871",17.1,1.18,－
2021/11/18,28,3962,チェンジ,東１,"2,427",,+24,+1.00%,"8,439",38.7,5.74,－
2021/11/18,29,6981,村田製,東１,"8,802",,+48,+0.55%,"8,321",20.8,2.74,1.36
2021/11/18,30,4188,三菱ケミＨＤ,東１,941.7,,+3.5,+0.37%,"8,157",7.0,1.01,3.19
2021/11/18,31,6723,ルネサス,東１,"1,510",,+18,+1.21%,"8,130",－,2.80,－
2021/11/18,32,6166,中村超硬,東Ｍ,748,,-255,-25.42%,"8,122",－,7.90,－
2021/11/18,33,9101,郵船,東１,"7,260",,-330,-4.35%,"8,115",1.7,1.19,11.02
2021/11/18,34,6378,木村化,東１,939,,+94,+11.12%,"8,099",13.6,1.34,1.60
2021/11/18,35,3436,ＳＵＭＣＯ,東１,"2,455",,-27,-1.09%,"7,982",23.9,2.54,1.47
2021/11/18,36,3185,夢展望,東Ｍ,417,,-79,-15.93%,"7,471",43.3,32.10,－
2021/11/18,37,8750,第一生命ＨＤ,東１,"2,324.0",,-17.0,-0.73%,"7,389",7.1,0.50,3.44
2021/11/18,38,8316,三井住友ＦＧ,東１,"3,900",,-8,-0.20%,"7,345",8.0,0.43,5.38
2021/11/18,39,6758,ソニーＧ,東１,"14,350",,+125,+0.88%,"7,280",24.4,2.51,－
2021/11/18,40,8308,りそなＨＤ,東１,435.1,,-5.6,-1.27%,"7,185",7.3,0.41,4.83
2021/11/18,41,6501,日立,東１,"7,203",,-35,-0.48%,"7,135",12.7,1.82,－
2021/11/18,42,4080,田中化研,ＪＱ,"1,809",,-3,-0.17%,"7,044",90.5,4.49,－
2021/11/18,43,8411,みずほＦＧ,東１,"1,486.0",,-27.5,-1.82%,"7,024",7.1,0.40,5.38
2021/11/18,44,2929,ファーマＦ,東１,"2,732",,+152,+5.89%,"6,884",19.7,9.35,0.73
2021/11/18,45,6613,ＱＤレーザ,東Ｍ,"1,087",,-28,-2.51%,"6,719",－,10.41,－
2021/11/18,46,9603,ＨＩＳ,東１,"2,406",,-62,-2.51%,"6,657",－,2.93,－
2021/11/18,47,7078,ＩＮＣ,東Ｍ,"2,319",,+189,+8.87%,"6,628","1,656",12.16,－
2021/11/18,48,9202,ＡＮＡＨＤ,東１,"2,729.5",,+13.5,+0.50%,"6,438",－,1.61,－
2021/11/18,49,2162,ｎｍｓ,ＪＱ,303,,+34,+12.64%,"6,419",8.5,1.10,1.65
2021/11/18,50,3382,セブン＆アイ,東１,"4,769",,-168,-3.40%,"6,402",22.2,1.48,2.10
2021/11/18,51,9201,ＪＡＬ,東１,"2,442",,+7,+0.29%,"6,287",－,1.26,－
2021/11/18,52,3659,ネクソン,東１,"2,551",,+53,+2.12%,"6,228",24.1,2.83,0.20
2021/11/18,53,5411,ＪＦＥ,東１,"1,408",,-25,-1.74%,"6,187",3.2,0.44,－
2021/11/18,54,6301,コマツ,東１,"2,988.0",,+20.0,+0.67%,"6,082",15.1,1.41,2.68
2021/11/18,55,2413,エムスリー,東１,"6,415",,-66,-1.02%,"5,994",－,18.82,－
2021/11/18,56,3121,マーチャント,東２,868,,+46,+5.60%,"5,960",104,6.71,0.23
2021/11/18,57,4755,楽天グループ,東１,"1,251",,+46,+3.82%,"5,879",－,1.77,－
2021/11/18,58,7733,オリンパス,東１,"2,630.0",,+6.0,+0.23%,"5,855",31.0,7.58,0.53
2021/11/18,59,4371,ＣＣＴ,東Ｍ,"8,910",,"-1,880",-17.42%,"5,787",93.0,20.81,－
2021/11/18,60,2914,ＪＴ,東１,"2,309.0",,-17.5,-0.75%,"5,688",12.4,1.47,6.06
2021/11/18,61,2503,キリンＨＤ,東１,"1,879.5",,+19.5,+1.05%,"5,580",18.1,1.82,3.46
2021/11/18,62,6619,ＷＳＣＯＰＥ,東１,"1,036",,-2,-0.19%,"5,509",－,1.93,－
2021/11/18,63,2385,総医研ＨＤ,東Ｍ,384,,+77,+25.08%,"5,481",23.4,1.70,1.30
2021/11/18,64,8698,マネックスＧ,東１,862,,+29,+3.48%,"5,373",－,2.23,－
2021/11/18,65,4568,第一三共,東１,"2,967.0",,-29.5,-0.98%,"5,318",88.9,4.33,0.91
2021/11/18,66,5802,住友電,東１,"1,594.0",,+58.0,+3.78%,"5,283",13.1,0.74,3.14
2021/11/18,67,4169,エネチェンジ,東Ｍ,"8,420",,+160,+1.94%,"5,278",－,111,－
2021/11/18,68,5108,ブリヂストン,東１,"4,890",,-87,-1.75%,"5,202",10.6,1.33,3.48
2021/11/18,69,8795,Ｔ＆Ｄ,東１,"1,425",,-37,-2.53%,"5,201",23.1,0.51,3.93
2021/11/18,70,3083,シーズメン,ＪＱ,"1,202",,-19,-1.56%,"5,189",69.3,3.11,－
2021/11/18,71,7270,ＳＵＢＡＲＵ,東１,"2,316.5",,-29.0,-1.24%,"5,080",16.2,0.98,2.42
2021/11/18,72,7751,キヤノン,東１,"2,576.5",,-4.5,-0.17%,"5,059",13.4,0.98,3.49
2021/11/18,73,4502,武田,東１,"3,239.0",,+3.0,+0.09%,"5,023",27.6,0.96,5.56
2021/11/18,74,8031,三井物,東１,"2,573.5",,-4.5,-0.17%,"5,020",5.8,0.88,3.69
2021/11/18,75,8035,東エレク,東１,"60,610",,-340,-0.56%,"5,018",23.6,8.04,2.12
2021/11/18,76,8591,オリックス,東１,"2,332.5",,+3.0,+0.13%,"4,990",11.2,0.90,3.34
2021/11/18,77,9021,ＪＲ西日本,東１,"5,222",,+11,+0.21%,"4,978",－,1.24,1.91
2021/11/18,78,3632,グリー,東１,"1,014",,-15,-1.46%,"4,976",－,1.64,－
2021/11/18,79,2802,味の素,東１,"3,535.0",,-51.0,-1.42%,"4,938",28.1,3.01,1.36
2021/11/18,80,3402,東レ,東１,708.7,,-12.0,-1.67%,"4,894",12.2,0.87,2.26
2021/11/18,81,6503,三菱電,東１,"1,506.5",,+6.5,+0.43%,"4,870",14.6,1.15,－
2021/11/18,82,9104,商船三井,東１,"6,260",,-150,-2.34%,"4,862",1.6,0.86,12.78
2021/11/18,83,7816,スノーピーク,東１,"8,450",,+60,+0.72%,"4,760",68.0,12.63,0.24
2021/11/18,84,8601,大和,東１,641.7,,-3.3,-0.51%,"4,743",－,0.72,－
2021/11/18,85,3662,エイチーム,東１,"1,481",,-221,-12.98%,"4,713",－,2.42,1.08
2021/11/18,86,6902,デンソー,東１,"8,880",,+156,+1.79%,"4,666",20.3,1.69,1.80
2021/11/18,87,9433,ＫＤＤＩ,東１,"3,418.0",,+9.0,+0.26%,"4,626",11.7,1.56,3.66
2021/11/18,88,3814,アルファクス,ＪＧ,808,,+48,+6.32%,"4,608",12.6,89.58,－
2021/11/18,89,4901,富士フイルム,東１,"9,064",,+61,+0.68%,"4,591",20.7,1.58,1.21
2021/11/18,90,9424,日本通信,東１,261,,-12,-4.40%,"4,559",－,98.49,－
2021/11/18,91,6752,パナソニック,東１,"1,389.5",,+1.0,+0.07%,"4,493",13.5,1.17,－
2021/11/18,92,4507,塩野義,東１,"7,611",,+161,+2.16%,"4,454",22.9,2.60,1.45
2021/11/18,93,8058,三菱商,東１,"3,461.0",,-9.0,-0.26%,"4,437",6.9,0.87,4.10
2021/11/18,94,7453,良品計画,東１,"2,024",,-30,-1.46%,"4,419",16.6,2.51,1.98
2021/11/18,95,6976,太陽誘電,東１,"6,430",,-130,-1.98%,"4,374",16.8,3.00,1.24
2021/11/18,96,6962,大真空,東１,"1,616",,-63,-3.75%,"4,331",21.7,1.76,0.77
2021/11/18,97,8001,伊藤忠,東１,"3,316.0",,-33.0,-0.99%,"4,298",6.6,1.31,3.32
2021/11/18,98,9020,ＪＲ東日本,東１,"7,084",,+38,+0.54%,"4,298",－,1.13,1.41
2021/11/18,99,2502,アサヒ,東１,"4,620",,-11,-0.24%,"4,253",15.8,1.40,2.36
2021/11/18,100,4004,昭電工,東１,"2,671",,-69,-2.52%,"4,229",－,0.98,2.43
2021/11/18,101,5381,Ｍｉｐｏｘ,ＪＱ,"1,096",,-35,-3.09%,"4,148",14.5,2.60,－
2021/11/18,102,6502,東芝,東１,"4,700",,-28,-0.59%,"4,140",－,1.94,4.04
2021/11/18,103,6857,アドテスト,東１,"10,270",,-280,-2.65%,"4,116",25.3,6.95,－
2021/11/18,104,7011,三菱重,東１,"2,851.5",,+32.5,+1.15%,"4,106",9.6,0.69,3.16
2021/11/18,105,7532,パンパシＨＤ,東１,"2,200",,-14,-0.63%,"4,106",22.8,3.84,0.75
