日付,順位,コード,銘柄名,市場,株価,S高,前日比,前日比(%),約定回数,ＰＥＲ,ＰＢＲ,利回り
2022/01/13,1,9984,ＳＢＧ,東１,"5,566",,-117,-2.06%,"33,824",－,0.90,0.79
2022/01/13,2,3604,川本産業,東２,"1,600",,+142,+9.74%,"28,387",15.2,1.68,0.88
2022/01/13,3,7203,トヨタ,東１,"2,412.0",,+52.5,+2.23%,"28,267",13.4,1.35,－
2022/01/13,4,8306,三菱ＵＦＪ,東１,714.2,,+10.2,+1.45%,"25,148",8.7,0.51,3.92
2022/01/13,5,5401,日本製鉄,東１,"2,166.5",,+104.5,+5.07%,"19,919",3.8,0.64,－
2022/01/13,6,6920,レーザーテク,東１,"30,810",,-550,-1.75%,"19,863",132,54.17,0.27
2022/01/13,7,7733,オリンパス,東１,"2,392.0",,-125.5,-4.99%,"18,190",28.2,6.89,0.59
2022/01/13,8,1570,日経レバ,東Ｅ,"15,275",,-325,-2.08%,"17,638",－,－,－
2022/01/13,9,8267,イオン,東１,"2,480.5",,-150.0,-5.70%,"16,951",84.0,2.22,1.45
2022/01/13,10,3681,ブイキューブ,東１,892,,+55,+6.57%,"16,719",18.8,5.00,0.90
2022/01/13,11,7201,日産自,東１,646.0,,+14.1,+2.23%,"15,786",14.0,0.61,－
2022/01/13,12,9212,ＧＥＩ,東Ｍ,"1,740",,+166,+10.55%,"14,355",233,21.89,－
2022/01/13,13,6178,日本郵政,東１,993.2,,+1.3,+0.13%,"12,570",7.7,0.27,5.03
2022/01/13,14,1419,タマホーム,東１,"2,796",,+136,+5.11%,"12,125",10.8,3.05,4.11
2022/01/13,15,4689,ＺＨＤ,東１,627.0,,-1.4,-0.22%,"11,917",－,1.76,0.89
2022/01/13,16,8308,りそなＨＤ,東１,515.7,,+14.1,+2.81%,"11,017",8.5,0.48,4.07
2022/01/13,17,5411,ＪＦＥ,東１,"1,732",,+65,+3.90%,"11,003",4.0,0.54,－
2022/01/13,18,5020,ＥＮＥＯＳ,東１,459.6,,+2.7,+0.59%,"10,699",5.3,0.58,4.79
2022/01/13,19,6098,リクルート,東１,"6,343",,-262,-3.97%,"10,548",38.6,8.24,0.33
2022/01/13,20,1518,三井松島ＨＤ,東１,"1,744",,-5,-0.29%,"10,224",5.7,0.71,3.44
2022/01/13,21,2158,フロンテオ,東Ｍ,"2,458",,-99,-3.87%,"10,138",87.7,18.13,0.28
2022/01/13,22,9211,エフ・コード,東Ｍ,"7,020",,+310,+4.62%,"9,989",97.2,49.60,－
2022/01/13,23,8031,三井物,東１,"2,927.5",,+57.0,+1.99%,"9,531",6.6,1.00,3.25
2022/01/13,24,5713,住友鉱,東１,"5,048",,+275,+5.76%,"9,001",6.5,1.12,3.65
2022/01/13,25,8058,三菱商,東１,"3,918",,+104,+2.73%,"8,902",7.8,0.99,3.62
2022/01/13,26,4188,三菱ケミＨＤ,東１,905.3,,+12.9,+1.45%,"8,746",6.7,0.97,3.31
2022/01/13,27,9107,川崎汽,東１,"7,890",,-60,-0.75%,"8,677",2.0,1.57,3.80
2022/01/13,28,3382,セブン＆アイ,東１,"4,921",,-167,-3.28%,"8,510",20.2,1.50,2.03
2022/01/13,29,2413,エムスリー,東１,"4,890",,-162,-3.21%,"8,483",－,14.34,－
2022/01/13,30,8591,オリックス,東１,"2,556.5",,+42.0,+1.67%,"8,152",9.9,0.98,3.05
2022/01/13,31,8316,三井住友ＦＧ,東１,"4,304",,+24,+0.56%,"7,965",8.8,0.48,4.88
2022/01/13,32,8002,丸紅,東１,"1,194.0",,+36.0,+3.11%,"7,854",5.9,1.11,4.27
2022/01/13,33,3436,ＳＵＭＣＯ,東１,"2,455",,+45,+1.87%,"7,846",23.9,2.54,1.47
2022/01/13,34,4502,武田,東１,"3,363.0",,+19.0,+0.57%,"7,741",28.4,0.98,5.35
2022/01/13,35,7011,三菱重,東１,"3,165.0",,-3.0,-0.09%,"7,714",10.6,0.77,2.84
2022/01/13,36,6902,デンソー,東１,"9,906",,-11,-0.11%,"7,684",22.6,1.88,1.62
2022/01/13,37,4612,日本ペＨＤ,東１,993,,-69,-6.50%,"7,591",38.9,2.53,1.01
2022/01/13,38,8750,第一生命ＨＤ,東１,"2,697.0",,+56.5,+2.14%,"7,487",8.1,0.57,2.97
2022/01/13,39,1605,ＩＮＰＥＸ,東１,"1,101",,+13,+1.19%,"7,386",8.3,0.50,3.63
2022/01/13,40,6522,アスタリスク,東Ｍ,"3,430",,+320,+10.29%,"6,930",93.1,51.27,－
2022/01/13,41,6501,日立,東１,"6,886",,-11,-0.16%,"6,881",12.1,1.74,－
2022/01/13,42,3402,東レ,東１,743.4,,+4.3,+0.58%,"6,754",12.8,0.91,2.15
2022/01/13,43,9101,郵船,東１,"9,690",,-10,-0.10%,"6,746",2.3,1.58,8.26
2022/01/13,44,6524,湖北工業,東２,"9,000",,-190,-2.07%,"6,509",26.5,8.52,－
