日付,順位,コード,銘柄名,市場,株価,S高,前日比,前日比(%),約定回数,ＰＥＲ,ＰＢＲ,利回り
2021/05/24,1,9984,ＳＢＧ,東１,"8,315",,-190,-2.23%,"35,372",－,1.39,0.53
2021/05/24,2,4582,シンバイオ,ＪＧ,"1,510",,-77,-4.85%,"29,298",50.4,15.07,－
2021/05/24,3,8306,三菱ＵＦＪ,東１,630.2,,+9.7,+1.56%,"17,508",9.5,0.48,4.28
2021/05/24,4,6198,Ｃａｒｅｅｒ,東Ｍ,653,,+44,+7.22%,"15,203",553,4.74,－
2021/05/24,5,7203,トヨタ,東１,"8,835",,+92,+1.05%,"14,253",10.7,1.06,－
2021/05/24,6,4188,三菱ケミＨＤ,東１,907.3,,+24.3,+2.75%,"12,827",13.3,1.04,2.65
2021/05/24,7,8604,野村,東１,598.5,,+3.8,+0.64%,"11,690",－,0.69,－
2021/05/24,8,1570,日経レバ,東Ｅ,"15,310",,+30,+0.20%,"10,984",－,－,－
2021/05/24,9,5401,日本製鉄,東１,"2,115.5",,+25.5,+1.22%,"10,369",8.1,0.71,－
2021/05/24,10,7201,日産自,東１,532.8,,+4.7,+0.89%,"9,746",－,0.53,－
2021/05/24,11,8308,りそなＨＤ,東１,481.5,,+9.5,+2.01%,"9,154",8.1,0.51,4.36
2021/05/24,12,4689,ＺＨＤ,東１,470.4,,-3.5,-0.74%,"9,111",－,1.33,1.18
2021/05/24,13,6550,Ｆｒｉｎｇｅ,東Ｍ,431,,-9,-2.05%,"9,010",－,18.13,－
2021/05/24,14,6613,ＱＤレーザ,東Ｍ,"1,500",,-109,-6.77%,"8,893",－,13.62,－
2021/05/24,15,8002,丸紅,東１,940.8,,+19.0,+2.06%,"8,504",7.1,0.90,3.61
2021/05/24,16,3903,ｇｕｍｉ,東１,"1,058",,-140,-11.69%,"8,314",－,2.03,－
2021/05/24,17,6400,不二精機,ＪＱ,729,,+72,+10.96%,"8,299",15.5,2.98,0.69
2021/05/24,18,6098,リクルート,東１,"5,466",,+99,+1.84%,"8,197",54.1,8.18,－
2021/05/24,19,5020,ＥＮＥＯＳ,東１,456.3,,+2.7,+0.60%,"8,010",10.5,0.63,4.82
2021/05/24,20,4568,第一三共,東１,"2,575.5",,-56.5,-2.15%,"7,723",98.7,3.88,1.05
2021/05/24,21,8750,第一生命ＨＤ,東１,"2,233.5",,+59.5,+2.74%,"7,719",8.9,0.52,3.45
2021/05/24,22,7267,ホンダ,東１,"3,359.0",,+50.0,+1.51%,"7,643",9.8,0.64,3.27
2021/05/24,23,4751,サイバー,東１,"2,163",,+3,+0.14%,"7,415",43.7,10.92,0.46
2021/05/24,24,8473,ＳＢＩ,東１,"2,703",,-74,-2.66%,"7,246",－,1.18,－
2021/05/24,25,9202,ＡＮＡＨＤ,東１,"2,513.5",,+61.5,+2.51%,"7,025",337,1.17,－
2021/05/24,26,4502,武田,東１,"3,762",,-53,-1.39%,"7,003",23.5,1.14,4.78
2021/05/24,27,6501,日立,東１,"5,633",,+128,+2.33%,"6,942",9.9,1.54,－
2021/05/24,28,8411,みずほＦＧ,東１,"1,707.0",,+21.0,+1.25%,"6,835",8.5,0.47,4.39
2021/05/24,29,9107,川崎汽,東１,"3,015",,+214,+7.64%,"6,829",8.0,1.29,－
2021/05/24,30,7342,ウェルスナビ,東Ｍ,"3,835",,+60,+1.59%,"6,800",－,23.46,－
2021/05/24,31,3659,ネクソン,東１,"2,606",,-48,-1.81%,"6,795",－,3.00,0.19
2021/05/24,32,9142,ＪＲ九州,東１,"2,383",,-3,-0.13%,"6,714",29.0,0.96,3.90
2021/05/24,33,8316,三井住友ＦＧ,東１,"4,030",,+46,+1.15%,"6,468",9.2,0.47,4.96
2021/05/24,34,4503,アステラス,東１,"1,661.0",,-30.0,-1.77%,"6,423",14.7,2.22,3.01
2021/05/24,35,3197,すかいらーく,東１,"1,562",,-40,-2.50%,"6,380",769,2.75,－
2021/05/24,36,8698,マネックスＧ,東１,767,,-5,-0.65%,"6,351",－,2.21,－
2021/05/24,37,4477,ＢＡＳＥ,東Ｍ,"1,588",,-78,-4.68%,"6,329",－,10.82,－
2021/05/24,38,6178,日本郵政,東１,923.8,,-3.1,-0.33%,"6,285",11.0,0.27,5.41
